rank,filename,score,bpm,duration_s,centroid_hz,intro_score,brightness_score,energy_build_score,dynamic_range_score,tempo_score,duration_score,loudness_score,strengths,warnings
1,01_opener.mp3,73.76,129.2,185.0,1771.9,78.6,45.4,49.3,100.0,100.0,100.0,52.6,Strong intro; Ideal BPM,
2,11_anthemic.mp3,72.11,112.3,215.0,1952.2,69.0,51.9,51.4,100.0,100.0,100.0,35.7,Ideal BPM,Loudness off-target
3,10_pre_closer.mp3,67.55,143.6,205.0,1908.8,60.5,50.3,51.0,90.1,86.8,100.0,53.5,Ideal BPM,
4,02_momentum.mp3,62.93,136.0,200.0,1913.6,47.9,50.5,50.0,52.4,98.5,100.0,66.9,Ideal BPM,
5,09_rebuild.mp3,62.71,143.6,198.0,1863.7,51.9,48.7,50.5,55.8,86.8,100.0,76.5,Ideal BPM,
6,04_hype.mp3,61.64,117.5,178.0,1973.3,44.4,52.6,48.5,45.7,100.0,100.0,63.7,Ideal BPM,
7,03_peak_energy.mp3,58.06,129.2,195.0,1841.7,39.0,47.9,49.8,38.9,100.0,100.0,47.3,Ideal BPM,Weak intro
8,05_groove.mp3,56.01,136.0,210.0,1785.8,35.1,45.9,48.5,22.5,98.5,100.0,75.2,Ideal BPM,Weak intro
9,08_interlude.mp3,50.66,129.2,180.0,1732.1,21.4,44.0,47.2,3.5,100.0,100.0,81.9,Ideal BPM,Weak intro
10,06_valley_soft.mp3,46.95,143.6,235.0,1702.1,16.7,42.9,46.6,3.5,86.8,100.0,76.4,Ideal BPM,Weak intro
11,07_ballad.mp3,45.48,129.2,255.0,1662.1,11.9,41.5,45.3,3.5,100.0,87.5,65.9,Ideal BPM,Weak intro; Long track (255s)
12,12_resolution.mp3,44.19,136.0,260.0,1710.9,6.9,43.2,45.0,4.4,98.5,83.3,70.4,Ideal BPM,Weak intro; Long track (260s)
